route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
79-10534,2020-COMBXMAS-Weekday-01,42651365-2020-COMBXMAS-Weekday-01,Calwell,1,790042,1,1
73-10534,2020-COMBXMAS-Weekday-01,42651366-2020-COMBXMAS-Weekday-01,Woden,0,730081,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651367-2020-COMBXMAS-Weekday-01,Calwell,1,790042,1,1
72-10534,2020-COMBXMAS-Weekday-01,42651368-2020-COMBXMAS-Weekday-01,Woden,0,720076,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651369-2020-COMBXMAS-Weekday-01,Calwell,1,790042,1,1
73-10534,2020-COMBXMAS-Weekday-01,42651370-2020-COMBXMAS-Weekday-01,Woden,0,730081,1,1
72-10534,2020-COMBXMAS-Weekday-01,42651371-2020-COMBXMAS-Weekday-01,Woden,0,720076,1,1
72-10534,2020-COMBXMAS-Weekday-01,42651372-2020-COMBXMAS-Weekday-01,Woden,0,720076,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651373-2020-COMBXMAS-Weekday-01,Calwell,1,790042,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651374-2020-COMBXMAS-Weekday-01,Calwell,1,790042,1,1
79-10534,2020-COMBXMAS-Weekday-01,42651375-2020-COMBXMAS-Weekday-01,Calwell,1,790042,1,1
73-10534,2020-COMBXMAS-Weekday-01,42651376-2020-COMBXMAS-Weekday-01,Woden,0,730081,1,1
80-10534,2020-COMBXMAS-Weekday-01,42651377-2020-COMBXMAS-Weekday-01,Lanyon,1,800191,1,0
80-10534,2020-COMBXMAS-Weekday-01,42651378-2020-COMBXMAS-Weekday-01,Lanyon,1,800191,1,1
81-10534,2020-COMBXMAS-Weekday-01,42651379-2020-COMBXMAS-Weekday-01,Lanyon,1,810070,1,1
80-10534,2020-COMBXMAS-Weekday-01,42651380-2020-COMBXMAS-Weekday-01,Lanyon,1,800191,1,0
81-10534,2020-COMBXMAS-Weekday-01,42651381-2020-COMBXMAS-Weekday-01,Lanyon,1,810070,1,1
80-10534,2020-COMBXMAS-Weekday-01,42651382-2020-COMBXMAS-Weekday-01,Lanyon,1,800191,1,0
80-10534,2020-COMBXMAS-Weekday-01,42651383-2020-COMBXMAS-Weekday-01,Lanyon,1,800191,1,1
74-10534,2020-COMBXMAS-Weekday-01,42651384-2020-COMBXMAS-Weekday-01,Chisholm Loop,1,740076,1,1
77-10534,2020-COMBXMAS-Weekday-01,42651385-2020-COMBXMAS-Weekday-01,Woden,0,770054,1,1
77-10534,2020-COMBXMAS-Weekday-01,42651386-2020-COMBXMAS-Weekday-01,Woden,0,770054,1,1
78-10534,2020-COMBXMAS-Weekday-01,42651387-2020-COMBXMAS-Weekday-01,Richardson Loop,1,780102,1,1
76-10534,2020-COMBXMAS-Weekday-01,42651388-2020-COMBXMAS-Weekday-01,Woden,0,760045,1,1
76-10534,2020-COMBXMAS-Weekday-01,42651389-2020-COMBXMAS-Weekday-01,Woden,0,760045,1,1
76-10534,2020-COMBXMAS-Weekday-01,42651390-2020-COMBXMAS-Weekday-01,Woden,0,760045,1,1
76-10534,2020-COMBXMAS-Weekday-01,42651391-2020-COMBXMAS-Weekday-01,Woden,0,760045,1,1
76-10534,2020-COMBXMAS-Weekday-01,42651392-2020-COMBXMAS-Weekday-01,Woden,0,760045,1,1
76-10534,2020-COMBXMAS-Weekday-01,42651393-2020-COMBXMAS-Weekday-01,Woden,0,760045,1,1
76-10534,2020-COMBXMAS-Weekday-01,42651394-2020-COMBXMAS-Weekday-01,Woden,0,760045,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651395-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651396-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651397-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651398-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651399-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651400-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651401-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651402-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651403-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651404-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651405-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651406-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651407-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651408-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651409-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651410-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651411-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651412-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651413-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651414-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651415-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651416-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651417-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651418-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,0
4-10534,2020-COMBXMAS-Weekday-01,42651419-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651420-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651421-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651422-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
4-10534,2020-COMBXMAS-Weekday-01,42651423-2020-COMBXMAS-Weekday-01,Belconnen,1,40323,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651424-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651425-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651426-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651427-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651428-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651429-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651430-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651431-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
50-10534,2020-COMBXMAS-Weekday-01,42651432-2020-COMBXMAS-Weekday-01,City,0,500145,1,1
9-10534,2020-COMBXMAS-Weekday-01,42651433-2020-COMBXMAS-Weekday-01,Belconnen,1,90223,1,1
9-10534,2020-COMBXMAS-Weekday-01,42651434-2020-COMBXMAS-Weekday-01,Belconnen,1,90223,1,1
9-10534,2020-COMBXMAS-Weekday-01,42651435-2020-COMBXMAS-Weekday-01,Belconnen,1,90223,1,1
9-10534,2020-COMBXMAS-Weekday-01,42651436-2020-COMBXMAS-Weekday-01,Belconnen,1,90223,1,1
9-10534,2020-COMBXMAS-Weekday-01,42651437-2020-COMBXMAS-Weekday-01,Belconnen,1,90223,1,1
9-10534,2020-COMBXMAS-Weekday-01,42651438-2020-COMBXMAS-Weekday-01,Belconnen,1,90223,1,1
